severity,type,url,detail
"P1","destructive_missing_warning","https://docs.oviond.com/api/widgets/delete-widget","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/widgets/get-widget","34 words"
"P1","thin_page","https://docs.oviond.com/api/widgets/list-widget-ids","35 words"
"P1","thin_page","https://docs.oviond.com/api/widgets/list-widgets","33 words"
"P1","thin_page","https://docs.oviond.com/api/widgets/update-widget","34 words"
"P1","destructive_missing_warning","https://docs.oviond.com/archive/restore","Destructive/risky page has no Mintlify Warning component"
"P2","thin_page","https://docs.oviond.com/archive/view","105 words"
"P1","destructive_missing_warning","https://docs.oviond.com/archive/view","Destructive/risky page has no Mintlify Warning component"
"P1","destructive_missing_warning","https://docs.oviond.com/automations/delete","Destructive/risky page has no Mintlify Warning component"
"P1","internal_or_vendor_leak","https://docs.oviond.com/billing/plans","Stripe"
"P1","internal_or_vendor_leak","https://docs.oviond.com/billing/subscription","Stripe"
"P1","internal_or_vendor_leak","https://docs.oviond.com/changelog/2026-04","S3, Vercel"
"P1","destructive_missing_warning","https://docs.oviond.com/clients/archive","Destructive/risky page has no Mintlify Warning component"
"P2","thin_page","https://docs.oviond.com/company/overview","108 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/custom-domains/delete","Vercel"
"P1","destructive_missing_warning","https://docs.oviond.com/custom-domains/delete","Destructive/risky page has no Mintlify Warning component"
"P1","internal_or_vendor_leak","https://docs.oviond.com/custom-domains/verify","Vercel"
"P1","internal_or_vendor_leak","https://docs.oviond.com/email-settings/smtp","Resend"
"P1","internal_or_vendor_leak","https://docs.oviond.com/media/bulk-delete","S3"
"P1","internal_or_vendor_leak","https://docs.oviond.com/media/delete","S3"
"P1","destructive_missing_warning","https://docs.oviond.com/media/delete","Destructive/risky page has no Mintlify Warning component"
"P1","internal_or_vendor_leak","https://docs.oviond.com/media/update","S3"
"P1","internal_or_vendor_leak","https://docs.oviond.com/media/upload","S3"
"P2","thin_page","https://docs.oviond.com/notifications/view","101 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/onboarding/overview","accounts row, account.onboarding"
"P1","destructive_missing_warning","https://docs.oviond.com/projects/archive","Destructive/risky page has no Mintlify Warning component"
"P2","thin_page","https://docs.oviond.com/templates/delete","118 words"
"P1","destructive_missing_warning","https://docs.oviond.com/templates/delete","Destructive/risky page has no Mintlify Warning component"
"P2","thin_page","https://docs.oviond.com/themes/delete","116 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/users/list","Resend"
